player_id,name,pos,class_year,div,from_school,summer_team,status,san_diego_school,ca_school,ca_summer_league
3177,CHRISTOPHER MT ESQUIVEL,,,I,Saint Mary's College of California,,ENTERED,,Y,
3178,JUSTIN HEFFLER,,,I,Saint Mary's College of California,,ENTERED,,Y,
3179,REES KENT,,Grad Transfer,I,Saint Mary's College of California,,ENTERED,,Y,
3180,HUNTER HIRAYAMA,INF,Grad Transfer,I,Saint Mary's College of California,,ENTERED,,Y,
3181,JOE MCGEE,,,I,Saint Mary's College of California,,ENTERED,,Y,
5834,JACOB SKELSKEY,,,I,Saint Mary's College of California,,ENTERED,,Y,
2908,ISAIAH MT CORTEZ,,,II,San Francisco State University,,ENTERED,,Y,
3284,KYLE OLIMPIA,INF,,II,San Francisco State University,,ENTERED,,Y,
3285,ARMANDO MURILLO,INF,Grad Transfer,II,San Francisco State University,,ENTERED,,Y,
3286,STEPHEN MT ESPINOZA,INF,Junior,II,San Francisco State University,,ENTERED,,Y,
3287,TYLER OHLSON,RHP,,II,San Francisco State University,,ENTERED,,Y,
3288,MICHAEL CUNNINGHAM,OF,Grad Transfer,II,San Francisco State University,,ENTERED,,Y,
3289,JACKSON WOOD,1B/DH,,II,San Francisco State University,,ENTERED,,Y,
3290,NICHOLAS COOK,OF,,II,San Francisco State University,,ENTERED,,Y,
3291,ANTHONY ALVAREZ,RHP/OF,Grad Transfer,II,San Francisco State University,,ENTERED,,Y,
3292,JAKE SPENCE,P,,II,San Francisco State University,,ENTERED,,Y,
3293,SCOTT BAUMAN,P,,II,San Francisco State University,,ENTERED,,Y,
3294,TYLER BYRNS,,Grad Transfer,II,San Francisco State University,,ENTERED,,Y,
3295,NICOLAS   MT BACURA,RHP,Grad Transfer,II,San Francisco State University,,ENTERED,,Y,
3296,COLBY RAFAIL,,,II,San Francisco State University,,ENTERED,,Y,
3297,RIVER DIAZ DE LEON,TWP,,II,San Francisco State University,,ENTERED,,Y,
3298,CAMDEN ANDREWS,,,II,San Francisco State University,,ENTERED,,Y,
3299,NICHOLAS ALLRED,OF,,II,San Francisco State University,,ENTERED,,Y,
3300,JARED MT LEWIS,,,I,San Jose State University,,ENTERED,,Y,
3301,RAOUL FABIAN JR,,,I,San Jose State University,,ENTERED,,Y,
3302,DOMINIC BRASSESCO,P,,I,San Jose State University,,ENTERED,,Y,
3303,JACOB CAMPAGNA,,,I,San Jose State University,,ENTERED,,Y,
3304,HUNTER HANES,P,,I,San Jose State University,,ENTERED,,Y,
3305,BRADY PAVLOVSKY,P,,I,San Jose State University,,ENTERED,,Y,
3306,TYSON PEREIRA,,,I,San Jose State University,,ENTERED,,Y,
3307,BLANCHE TOUALEU,,,I,San Jose State University,,ENTERED,,Y,
3308,NIKOLAUS OLSON,,,I,Santa Clara University,,ENTERED,,Y,
3309,HAYDEN JUNG-GOLDBERG,,,I,Santa Clara University,,ENTERED,,Y,
3310,CONNER SMITH,,,I,Santa Clara University,,ENTERED,,Y,
3311,CADEN WOOSTER,P,,I,Santa Clara University,,ENTERED,,Y,
2910,MARK MT CHAVEZ,,,II,Sonoma State University,,ENTERED,,Y,
2911,RICHARD MT SALAS,,,II,Sonoma State University,,ENTERED,,Y,
2912,MARTIN MT SANCHEZ,,,II,Sonoma State University,,ENTERED,,Y,
3375,EVAN MERZ,1B/DH,Junior,II,Sonoma State University,,ENTERED,,Y,
3376,CHRISTOPHER ORTIZ,C,Grad Transfer,II,Sonoma State University,,ENTERED,,Y,
3377,BEN SAITZ,INF,Junior,II,Sonoma State University,,ENTERED,,Y,
3378,GARRET BARTO,,Grad Transfer,II,Sonoma State University,,ENTERED,,Y,
3379,BRANDON MARION,,,II,Sonoma State University,,ENTERED,,Y,
3380,MASON HANSHAW,C,,II,Sonoma State University,,ENTERED,,Y,
3381,RYAN   MT TIGER,,Grad Transfer,II,Sonoma State University,,ENTERED,,Y,
3382,JACOB MT COURTNEY,,,II,Sonoma State University,,ENTERED,,Y,
3383,MICHAEL GORMLEY,,,II,Sonoma State University,,ENTERED,,Y,
3384,JEREMY VARGAS,,,II,Sonoma State University,,ENTERED,,Y,
3385,JESSE MOORE,,,II,Sonoma State University,,ENTERED,,Y,
3386,JOSEPH REPLOGLE,,,II,Sonoma State University,,ENTERED,,Y,
3387,JACOB PAUL,,,II,Sonoma State University,,ENTERED,,Y,
3388,TREY TRIAS,,,II,Sonoma State University,,ENTERED,,Y,
3389,DAVID HOWARD,P,,II,Sonoma State University,,ENTERED,,Y,
3390,HAWK HILL,P,,II,Sonoma State University,,ENTERED,,Y,
3391,LUKE IVANOFF,P,,II,Sonoma State University,,ENTERED,,Y,
3392,HERMAN LUNA,P,,II,Sonoma State University,,ENTERED,,Y,
3393,VINCENT LENCIONI,C,,II,Sonoma State University,,ENTERED,,Y,
3394,NOAH SOUZA,P,,II,Sonoma State University,,ENTERED,,Y,
3395,GABRIEL TAPIA,,,II,Sonoma State University,,ENTERED,,Y,
3396,EVAN MOYER,LHP,,II,Sonoma State University,,ENTERED,,Y,
3397,MAX MT SHABESTARI,,,II,Sonoma State University,,ENTERED,,Y,
3398,BRADEN SELLZ,,,II,Sonoma State University,,ENTERED,,Y,
3399,JOHN UCHYTIL,,,II,Sonoma State University,,ENTERED,,Y,
3400,MICHAEL PANICHI,P,,II,Sonoma State University,,ENTERED,,Y,
3401,JASON DEL VILLAR,,,II,Sonoma State University,,ENTERED,,Y,
3402,JARED ESPARZA,,Grad Transfer,II,Sonoma State University,,ENTERED,,Y,
3403,ELI HANCOCK,,,II,Sonoma State University,,ENTERED,,Y,
3404,JUSTIN LUCAS,,,II,Sonoma State University,,ENTERED,,Y,
