Team,Player,Pitch Type,Pitches,BBE,EV,EV 90,Max EV,HH%,LA,HH LA,SwSpot%,Barrel%,Barrels,BA,xBA,wOBA,xwOBA,GB%,FB%,LD%,Swing%,Z-Swing%,Z-Contact%,Chase%,Whiff%,SD+
Duke,Tyler Albright,All,278,43,91.3,105.4,107.3,51.2%,14.5°,15.4°,51.2,11.6%,5,0.35,0.297,0.437,0.45,32.6%,23.3%,37.2%,41.7%,75.9%,86.4%,17.3%,21.6%,146
New Orleans,Matt Gonzalez,All,35,9,91.3,99.2,102.4,44.4%,9.9°,-8.8°,33.3,0.0%,0,0.364,0.198,0.437,0.253,55.6%,0.0%,33.3%,48.6%,76.5%,100.0%,22.2%,11.8%,99
Charlotte,Dawson Bryce,All,213,44,93.8,104.0,105.9,61.4%,6.0°,12.1°,34.1,6.8%,3,0.352,0.321,0.436,0.432,47.7%,20.5%,25.0%,57.3%,78.6%,84.4%,39.1%,23.8%,68
Cal State Northridge,Kyle Panganiban,All,231,47,87.4,103.3,105.8,29.8%,16.6°,12.1°,51.1,2.1%,1,0.375,0.38,0.436,0.439,31.9%,21.3%,44.7%,54.5%,76.0%,84.2%,38.2%,20.6%,73
Wofford,Tyler Bak,All,127,21,84.8,101.2,102.2,38.1%,3.2°,4.6°,33.3,0.0%,0,0.438,0.286,0.436,0.375,61.9%,4.8%,33.3%,40.2%,56.9%,89.2%,22.6%,21.6%,111
Dallas Baptist,Keaton Grady,All,172,43,87.3,101.1,104.6,32.6%,0.8°,-2.1°,30.2,0.0%,0,0.38,0.317,0.436,0.363,55.8%,16.3%,27.9%,44.8%,62.0%,97.7%,32.7%,16.9%,102
Boston College,Pat Roche,All,140,28,90.8,102.4,104.1,53.6%,9.3°,14.2°,46.4,0.0%,0,0.4,0.379,0.436,0.452,35.7%,25.0%,35.7%,34.3%,57.6%,100.0%,17.3%,4.2%,108
Eastern Michigan,Bruce Jellison,All,97,17,90.2,98.3,99.9,29.4%,24.1°,14.6°,23.5,0.0%,0,0.389,0.259,0.436,0.335,29.4%,41.2%,23.5%,43.3%,68.9%,93.5%,21.2%,11.9%,127
Wright State,JP Peltier,All,264,39,91.7,108.2,114.5,56.4%,16.4°,20.6°,43.6,23.1%,9,0.273,0.29,0.436,0.47,33.3%,43.6%,20.5%,43.2%,67.5%,75.9%,23.8%,29.8%,111
Illinois-Chicago,Christian Holmes,All,36,5,83.7,81.4,82.7,20.0%,18.8°,-1.9°,60.0,0.0%,0,0.375,0.221,0.435,0.278,40.0%,40.0%,20.0%,52.8%,73.7%,85.7%,29.4%,26.3%,107
Yale,Jack Dauer,All,115,23,87.2,98.5,98.8,30.4%,8.0°,4.6°,26.1,0.0%,0,0.423,0.287,0.435,0.361,52.2%,17.4%,21.7%,46.1%,58.5%,93.5%,35.5%,11.3%,74
Abilene Christian,Reese Borho,All,77,11,81.6,103.0,104.3,45.5%,11.8°,13.0°,45.5,0.0%,0,0.375,0.283,0.435,0.36,54.5%,9.1%,36.4%,37.7%,59.4%,100.0%,22.2%,10.3%,85
South Alabama,Brennan Holt,All,131,14,84.0,99.7,101.1,42.9%,6.0°,15.3°,42.9,0.0%,0,0.304,0.236,0.435,0.344,50.0%,21.4%,21.4%,40.5%,62.3%,84.2%,21.4%,28.3%,117
Belmont,Gardner Lawrence,All,34,6,77.9,78.5,78.7,0.0%,28.9°,-,16.7,0.0%,0,0.375,0.195,0.435,0.251,33.3%,33.3%,16.7%,26.5%,53.3%,100.0%,5.3%,0.0%,149
Morehead State,Eli Kirkendoll,All,52,7,94.5,108.9,113.9,57.1%,0.2°,21.4°,14.3,14.3%,1,0.333,0.274,0.435,0.333,57.1%,28.6%,14.3%,46.2%,56.0%,64.3%,37.0%,45.8%,29
Rice,Paul Smith,All,36,7,91.6,103.7,105.6,42.9%,31.1°,15.1°,42.9,14.3%,1,0.375,0.333,0.435,0.458,28.6%,28.6%,28.6%,47.2%,69.2%,100.0%,34.8%,0.0%,125
Baylor,Pearson Riebock,All,181,28,85.5,98.4,101.3,21.4%,15.4°,18.0°,57.1,3.6%,1,0.419,0.269,0.435,0.356,28.6%,28.6%,42.9%,38.7%,55.9%,90.4%,20.5%,24.3%,95
East Tennessee State,Gabe Juarez,All,31,8,85.9,96.4,98.9,25.0%,4.4°,-20.6°,50.0,0.0%,0,0.375,0.355,0.435,0.436,37.5%,12.5%,50.0%,41.9%,80.0%,100.0%,23.8%,7.7%,90
Georgia Tech,Alex Hernandez,All,331,69,90.5,104.8,109.5,49.3%,11.9°,13.8°,29.0,10.1%,7,0.345,0.293,0.435,0.393,47.8%,26.1%,18.8%,45.0%,63.1%,83.8%,28.7%,22.1%,90
Virginia Tech,Ben Watson,All,251,51,89.9,104.5,108.3,47.1%,13.4°,12.5°,21.6,7.8%,4,0.339,0.314,0.434,0.466,43.1%,29.4%,15.7%,41.0%,64.3%,90.5%,21.3%,15.5%,80
Columbia,Griffin Palfrey,All,191,44,87.2,104.6,110.6,40.9%,4.8°,6.3°,27.3,0.0%,0,0.327,0.31,0.434,0.403,54.5%,22.7%,20.5%,45.5%,68.7%,91.2%,27.8%,12.6%,135
Hofstra,Dom Camera,All,58,12,89.2,100.1,103.4,16.7%,9.6°,3.9°,16.7,0.0%,0,0.353,0.206,0.434,0.237,58.3%,33.3%,8.3%,56.9%,71.4%,73.3%,48.6%,39.4%,36
Ohio State,Ryan Miller,All,165,22,86.5,104.3,109.8,45.5%,12.8°,20.8°,36.4,9.1%,2,0.303,0.259,0.434,0.355,36.4%,27.3%,27.3%,45.5%,67.1%,74.5%,27.0%,29.3%,90
Southern Wesleyan,Gage Shaver,All,64,15,74.8,95.5,96.8,13.3%,2.9°,21.8°,33.3,0.0%,0,0.444,0.299,0.434,0.428,40.0%,26.7%,26.7%,57.8%,84.4%,85.2%,31.2%,21.6%,106
Appalachian State,Tyler Figueroa,All,170,35,87.2,101.2,105.6,34.3%,21.7°,21.0°,37.1,14.3%,5,0.293,0.28,0.434,0.444,31.4%,54.3%,11.4%,45.3%,72.2%,87.7%,22.0%,14.3%,105
Fordham,Daniel Bucciero,All,226,41,93.0,106.9,110.7,51.2%,15.2°,18.3°,41.5,9.8%,4,0.396,0.342,0.433,0.467,31.7%,22.0%,36.6%,38.9%,65.6%,84.1%,19.2%,22.7%,124
Longwood,Bentley Yeatts,All,50,12,84.4,96.7,98.9,16.7%,19.5°,18.9°,58.3,0.0%,0,0.375,0.278,0.433,0.348,25.0%,33.3%,41.7%,50.0%,71.4%,75.0%,22.7%,28.0%,93
UNC Wilmington,Brock Wills,All,130,21,85.9,102.3,102.9,23.8%,4.6°,13.0°,28.6,4.8%,1,0.379,0.254,0.433,0.332,66.7%,14.3%,14.3%,40.0%,64.3%,83.3%,21.6%,25.0%,100
California Baptist,Christian Ramirez,All,180,32,82.4,92.9,95.2,6.2%,15.5°,13.2°,50.0,0.0%,0,0.394,0.333,0.433,0.372,37.5%,25.0%,37.5%,42.2%,68.4%,96.2%,23.1%,6.6%,113
Southeast Missouri,Caleb Champion,All,34,6,74.3,95.1,98.7,16.7%,28.4°,26.0°,16.7,0.0%,0,0.333,0.173,0.433,0.227,50.0%,33.3%,0.0%,38.2%,62.5%,100.0%,16.7%,15.4%,94
